Seorang	NND
pemilih	NN
,	Z
dan	CC
mantan	NNP
menteri	NNP
kesehatan	NNP
Aneurin	NNP
Bevan	NNP
,	Z
yang	SC
dikenal	VB
sebagai	IN
salah satu	CD
arsitek	NN
pelayanan	NN
kesehatan	NN
nasional	JJ
pemerintah	NN
inggris	NNP
,	Z
berada	VB
di	IN
urutan	NN
kelima	OD
besar	JJ
.	Z
Para	DT
anggota	NN
Majelis	NN
diberi	VB
kekebasan	NN
dalam	IN
survei	NN
untuk	SC
memilih	VB
seseorang	PRP
sebagai	IN
pahlawan	NN
mereka	PRP
.	Z
Salah seorang	CD
anggota	NN
parlemen	NN
bernama	VB
Jed	NNP
Bartlett	NNP
,	Z
yakni	SC
presiden	NN
fiksi	NN
Amerika	NNP
yang	SC
dimainkan	VB
oleh	IN
Martin	NNP
Sheen	NNP
dalam	IN
drama	NN
televisi	NN
AS	NNP
The	NNP
West	NNP
Wing	NNP
.	Z
Nama-nama	NN
lain	JJ
tercatat	VB
Theoden	NNP
,	Z
King	NNP
of	NNP
Rohan	NNP
,	Z
tokoh	NN
dari	IN
novel	NN
/	Z
film	NN
'	Z
Lord	NNP
of	NNP
the	NNP
Rings	NNP
'	Z
karya	NN
JRR	NNP
Tolkien	NNP
,	Z
sedangkan	CC
satu	CD
pilihan	NN
lain	JJ
-nya	PRP
adalah	VB
Boudica	NNP
,	Z
yakni	SC
ratu	NN
suku	NN
Celtic	NNP
dari	IN
inggris	NNP
timur	NNP
yang	SC
memimpin	VB
pemberontakan	NN
melawan	VB
pendudukan	NN
Kerajaan	NNP
Romawi	NNP
pada	IN
tahun	NN
61	CD
.	Z
Di	IN
antara	NN
banyak	CD
nominasi	NN
konvensional	JJ
juga	RB
terdapat	VB
nama	NN
mantan	JJ
pemimpin	NN
Soviet	NNP
,	Z
Mikhail	NNP
Gorbachev	NNP
dan	CC
mantan	NNP
presiden	NNP
AS	NNP
Bill	NNP
Clinton	NNP
.	Z
Kelompok	NN
oposisi	NN
Lebanon	NNP
,	Z
Selasa	NNP
larut	VB
malam	NN
,	Z
memutuskan	VB
untuk	SC
menghentikan	VB
pemogokan	NN
satu	CD
hari	NN
-nya	PRP
dan	CC
blokade	NN
terhadap	IN
jalan-jalan	NN
,	Z
kegiatan	NN
yang	SC
menewaskan	VB
tiga	CD
orang	NN
dan	CC
melukai	VB
133	CD
orang	NN
lagi	RB
.	Z
Oposisi	NN
telah	MD
memutuskan	VB
untuk	SC
tidak	NEG
memperpanjang	VB
pemogokan	NN
mereka	PRP
sampai	IN
Rabu	NNP
,	Z
demikian	PR
antara	IN
lain	JJ
isi	NN
pernyataan	NN
yang	SC
dibacakan	VB
oleh	IN
oposisi	NN
.	Z
Satu	CD
sumber	NN
keamanan	NN
Lebanon	NNP
mengatakan	VB
,	Z
Berbagai	CD
upaya	NN
Arab	NNP
yang	SC
dilancarkan	VB
di	IN
balik	NN
layar	NN
membuat	VB
oposisi	NN
menghentikan	VB
pemogokan	NN
mereka	PRP
yang	SC
mula	NN
-nya	PRP
dimaksudkan	VB
sebagai	IN
pemogokan	NN
satu	CD
-	Z
hari	NN
,	Z
yang	SC
mengakibatkan	VB
kerusuhan	NN
dan	CC
penutupan	NN
jalan-jalan	NN
utama	JJ
.	Z
Asap	NN
hitam	JJ
tebal	JJ
membubung	VB
ke	IN
udara	NN
kota	NNP
Beirut	NNP
dan	CC
kota	NN
besar	JJ
lain	JJ
saat	NN
pengunjuk rasa	NN
menghalangi	VB
jalan	NN
dengan	IN
mobil	NN
tua	JJ
dan	CC
ban	NN
terbakar	VB
sejak	IN
fajar	NN
.	Z
Sebagian	CD
pemrotes	NN
berbaring	VB
di	IN
jalan	NN
guna	SC
menghalangi	VB
lalu lintas	NN
sementara	SC
banyak	CD
toko	NN
,	Z
kegiatan	NN
usaha	NN
dan	CC
sekolah	NN
terpaksa	VB
dihentikan	VB
dan	CC
jalan utama	NN
ditutup	VB
.	Z
Oposisi	NN
telah	MD
melancarkan	VB
aksi	NN
duduk	VB
sejak	IN
1	CD
Desember	NNP
di	IN
pusat	NN
kota	NN
Beirut	NNP
guna	SC
menggulingkan	VB
pemerintah	NN
Perdana	NNP
Menteri	NNP
Fouad	NNP
Seniora	NNP
,	Z
yang	SC
memangku	VB
jabatan	NN
setelah	SC
pemilihan umum	NN
menyusul	VB
penarikan	NN
tentara	NN
Suriah	NNP
pada	IN
2005	CD
,	Z
dengan	IN
pemerintah	NN
persatuan	NN
nasional	JJ
tempat	NN
koalisi	NN
yang	SC
memerintah	VB
memiliki	VB
hak veto	NN
minoritas	NN
.	Z
Seniora	NNP
telah	MD
menyeru	VB
Parlemen	NN
mengadakan	VB
sidang	NN
darurat	NN
guna	SC
membahas	VB
krisis	NN
politik	NN
yang	SC
berkecamuk	VB
di	IN
Lebanon	NNP
.	Z
Kelompok	NN
ultrakiri	X
yang	SC
menentang	VB
perang	NNP
Irak	NNP
telah	MD
mengaku	VB
bertanggung jawab	VB
atas	IN
serangan-serangan	NN
terhadap	IN
satu	CD
pangkalan	NN
militer	NN
Amerika	NNP
Serikat	NNP
di	IN
dekat	JJ
Tokyo	NNP
pekan	NN
ini	PR
,	Z
kata	VB
polisi	NN
Sabtu	NNP
.	Z
Dua	CD
proyektil	NN
ditembakkan	VB
ke	IN
dekat	JJ
pangkalan	NN
Kamp	NNP
Zama	NNP
Militer	NNP
AS	NNP
,	Z
kira-kira	RB
40	CD
kilometer	NND
barat daya	NN
Tokyo	NNP
,	Z
Senin	NNP
malam	NN
.	Z
Tidak	NEG
ada	VB
yang	SC
cedera	JJ
dan	CC
mengalami	VB
kerusakan	NN
dalam	IN
serangan	NN
itu	PR
.	Z
Kelompok	NNP
Kakumeigun	NNP
atau	CC
Revolusi	NNP
Militer	NNP
yang	SC
menyatakan	VB
bertanggung jawab	VB
atas	IN
kejadian	NN
itu	PR
,	Z
kata	VB
seorang	NND
juru bicara	NN
polisi	NN
.	Z
Serangan-serangan	NN
tersebut	PR
dimaksudkan	VB
untuk	SC
mengganggu	VB
penyusunan	NN
kembali	VB
pasukan	NN
AS	NNP
di	IN
Jepang	NNP
,	Z
di	IN
samping	NN
rencana	NN
kunjungan	NN
tiga	CD
hari	NN
Wakil	NNP
Presiden	NNP
AS	NNP
,	Z
Dick	NNP
Cheney	NNP
ke	IN
Jepang	NNP
mulai	VB
Selasa	NNP
,	Z
kata	VB
kelompok	NN
tersebut	PR
dalam	IN
pernyataan	NN
-nya	PRP
,	Z
menurut	IN
juru bicara	NN
kepolisian	NN
.	Z
Polisi	NN
mengatakan	VB
,	Z
mereka	PRP
memperkirakan	VB
kelompok	NN
tersebut	PR
adalah	VB
kelompok	NN
kecil	JJ
dan	CC
sedikit	CD
sekali	RB
dikenal	VB
yang	SC
bergabung	VB
dengan	IN
Dewan	NNP
Pekerja	NNP
Revolusioner	NNP
(	Z
Kakuryokyo	NNP
)	Z
,	Z
yang	SC
dikecam	VB
punya	VB
kaitan	NN
dengan	IN
peristiwa	NN
serangan	NN
arson	X
dan	CC
proyektil	NN
berkemampuan	VB
tinggi	JJ
pada	IN
1990-an	CD
.	Z
Kelompok-kelompok	NN
semacam	IN
itu	PR
menargetkan	VB
instalasi-instalasi	NN
militer	NN
AS	NNP
di	IN
Jepang	NNP
di	IN
waktu	NN
yang	SC
lalu	CC
dan	CC
perang	NN
Irak	NNP
,	Z
yang	SC
mendorong	VB
polisi	NN
meningkatkan	VB
keamanan	NN
pada	IN
fasilitas-fasilitas	NN
semacam	IN
.	Z
AS	NNP
menempatkan	VB
50	CD
tentara	NN
-nya	PRP
di	IN
Jepang	NNP
berdasarkan	VB
aliansi	NN
keamanan	NN
AS	NNP
-	Z
Jepang	NNP
.	Z
Namun	CC
penduduk	NN
setempat	NN
mengajukan	VB
keberatan	NN
di	IN
waktu	NN
lalu	CC
berkaitan	VB
dengan	SC
keamanan	NN
,	Z
kegaduhan	NN
dan	CC
hal-hal	NN
yang	SC
dikaitkan	VB
dengan	SC
polusi	NN
pangkalan	NN
.	Z
Tetapi	CC
masyarakat	NN
pada	IN
umum	JJ
-nya	PRP
mendukung	VB
persekutuan	NN
AS	NNP
-	Z
Jepang	NNP
.	Z
Jepang	NNP
telah	MD
mengirimkan	VB
sekitar	IN
550	CD
prajurit	NN
non	NEG
tempur	VB
ke	IN
Irak	NNP
selatan	NN
.	Z
Misi	NN
ini	PR
telah	MD
berakhir	VB
Juli	NNP
lalu	CC
,	Z
namun	CC
sekitar	IN
200	CD
personel	NN
angkatan udara	NN
-nya	PRP
masih	MD
berada	VB
di	IN
Kuwait	NNP
untuk	IN
tugas	NN
transportasi	NN
suplai	NN
bahan-bahan	NN
kepada	IN
pasukan	NN
koalisi	NN
pimpinan	NN
AS	NNP
.	Z
Anggota	NN
partai	NNP
Demokrat	NNP
di	IN
AS	NNP
,	Z
Ahad	NNP
,	Z
berikrar	VB
,	Z
akan	MD
mencari	VB
cara	NN
baru	JJ
untuk	SC
menekan	VB
Presiden	NNP
George	NNP
W.	NNP
Bush	NNP
mengenai	IN
cara	NN
-nya	PRP
menangani	VB
perang	NNP
Irak	NNP
,	Z
setelah	SC
gagal	JJ
menembus	VB
kebuntuan	NN
di	IN
Senat	NNP
guna	SC
menyelenggarakan	VB
pembahasan	NN
mengenai	IN
strategi	NN
tak	NEG
populer	JJ
-nya	PRP
.	Z
Anggota	NN
partai	NNP
Demokrat	NNP
kembali	VB
memperkuat	VB
barisan	NN
dari	IN
kemunduran	NN
di	IN
Dewan	NNP
Legislatif	NNP
,	Z
Sabtu	NNP
,	Z
dengan	SC
melontarkan	VB
strategi	NN
baru	JJ
guna	SC
menantang	VB
rencana	NN
Presiden	NNP
AS	NNP
tersebut	PR
untuk	SC
melakukan	VB
pengiriman	NN
sebanyak	CD
21.500	CD
prajurit	NN
tempur	VB
AS	NNP
ke	IN
Irak	NNP
.	Z
Di	IN
antara	IN
pilihan	NN
utama	JJ
yang	SC
dipertimbangkan	VB
oleh	IN
anggota	NN
Dewan	NNP
Legislatif	NNP
dari	IN
partai	NNP
Demokrat	NNP
ialah	VB
usul	NN
yang	SC
akan	MD
mengubah	VB
wewenang	NN
Oktober	NNP
2002	CD
yang	SC
mengizinkan	VB
Bush	NNP
menyerbu	VB
Irak	NNP
.	Z
Senator	NNP
Carl	NNP
Levin	NNP
,	Z
pemimpin	NN
Komite	NNP
Angkatan	NNP
Bersenjata	VB
Senat	NNP
,	Z
Ahad	NNP
,	Z
mengatakan	VB
pemungutan suara	NN
untuk	SC
mengubah	VB
wewenang	NN
perang	NN
Bush	NNP
--	Z
yang	SC
dikatakan	VB
-nya	PRP
dapat	MD
dilakukan	VB
dengan	SC
memangkas	VB
dana	NN
bagi	IN
perlengkapan	NN
tentara	NN
AS	NNP
--	Z
barangkali	MD
merupakan	VB
pendekatan	NN
terbaik	JJ
.	Z
Resolusi	NN
perang	NN
Irak	NNP
yang	SC
disepakati	VB
oleh	IN
Senat	NNP
lebih	RB
dari	IN
empat	CD
tahun	NN
lalu	CC
,	Z
kata	VB
-nya	PRP
,	Z
adalah	VB
wewenang	NN
yang	SC
terbuka	VB
luas	JJ
yang	SC
memungkinkan	VB
dia	PRP
(	Z
Bush	NNP
)	Z
melakukan	VB
apa saja	WH
dan	CC
membuat	VB
kami	PRP
sekarang	NN
terlibat	VB
dalam	IN
perang	NN
mendalam	VB
di	IN
Irak	NNP
,	Z
dan	CC
sekarang	NN
ke	IN
sekitar	IN
Baghdad	NNP
.	Z
Saya	PRP
kira	VB
kami	PRP
akan	MD
mengkaji	VB
perubahan	NN
wewenang	NN
itu	PR
guna	SC
membatasi	VB
misi	NN
tentara	NN
Amerika	NNP
menjadi	VB
misi	NN
pendukung	NN
dan	CC
bukan	NEG
misi	NN
tempur	VB
,	Z
dan	CC
itu	PR
sangat	RB
berbeda	VB
dengan	SC
pemangkasan	NN
dana	NN
,	Z
kata	VB
Levin	NNP
.	Z
Namun	CC
ia	PRP
berikrar	VB
melalui	VB
satu	CD
atau	CC
lain	JJ
cara	NN
anggota	NN
partai	NNP
Demokrat	NNP
akan	MD
mundur	VB
dari	IN
penghentian	NN
guna	SC
mengesahkan	VB
peraturan	NN
yang	SC
meminta	VB
Presiden	NN
mempertangungjawabkan	VB
cara	NN
-nya	PRP
menangani	VB
Irak	NNP
,	Z
sekalipun	SC
mereka	PRP
tak	NEG
berhasil	VB
memperoleh	VB
suara	NN
mengenai	IN
tindakan	NN
sensor	NN
simbolis	JJ
Sabtu	NNP
.	Z
Itu	PR
mungkin	MD
lebih	RB
sulit	JJ
dibandingkan	VB
dengan	SC
berusaha	VB
mengegolkan	VB
resolusi	NN
yang	SC
mengikat	VB
,	Z
tapi	CC
kami	PRP
akan	MD
terus	RB
berusaha	VB
,	Z
karena	SC
kami	PRP
bertekad	VB
bahwa	SC
kami	PRP
akan	MD
mengubah	VB
jalur	NN
di	IN
Irak	NNP
,	Z
kata	VB
-nya	PRP
kepada	IN
stasiun televisi	NNP
Fox	NNP
.	Z
Ia	PRP
menyebut	VB
rencana	NN
pemerintah	NN
untuk	SC
mengirim	VB
21.500	CD
prajurit	NN
baru	JJ
ke	IN
Irak	NNP
sebagai	IN
kekeliruan	NN
.	Z
Itu	PR
hanya	RB
akan	MD
menjerumuskan	VB
kita	PRP
lebih jauh	JJ
ke	IN
dalam	NN
perang saudara	NN
.	Z
Ini	PR
bukan	NEG
penambahan	NN
.	Z
Ini	PR
adalah	VB
penjerumusan	NN
yang	SC
sedang	MD
kita	PRP
bicarakan	VB
yang	SC
akan	MD
menjadi	VB
tak	NEG
teramalkan	VB
dan	CC
mungkin	MD
jadi	VB
tak	NEG
dapat	MD
diketahui	VB
,	Z
kata	VB
tokoh	NN
Demokrat	NNP
tersebut	PR
.	Z
Levin	NNP
menambahkan	VB
wewenang	NN
baru	JJ
mengenai	IN
perang	NN
akan	MD
memungkinkan	VB
Kongers	NNP
menetapkan	VB
batas	NN
baru	JJ
bagi	IN
pasukan	NN
AS	NNP
di	IN
Irak	NNP
dan	CC
mengakhiri	VB
misi	NN
tanpa	IN
batas	NN
itu	PR
.	Z
Ketua	NNP
Komite	NNP
Hubungan	NNP
Luar	NNP
Negeri	NNP
Senat	NNP
Joseph	NNP
Biden	NNP
sepakat	JJ
mengenai	IN
perlu	JJ
-nya	PRP
untuk	SC
mencabut	VB
dan	CC
menetapkan	VB
kembali	VB
wewenang	NN
presiden	NN
,	Z
dan	CC
menjelaskan	VB
bahwa	SC
tujuan	NN
-nya	PRP
menempatkan	VB
tentara	NN
di sana	PR
ialah	VB
,	Z
pada	IN
kenyataan	NN
-nya	PRP
,	Z
untuk	SC
mencegah	VB
Al-Qaeda	NNP
menguasai	VB
wilayah	NN
,	Z
melatih	VB
tentara	NN
Irak	NNP
.	Z
Bukan	NEG
-nya	PRP
menceburkan	VB
diri	NN
ke	IN
tengah	NN
perang saudara	NN
.	Z
Tanpa	IN
menyarankan	VB
usul	NN
khusus	JJ
untuk	SC
memaksa	VB
pemerintah	NN
mengubah	VB
jalur	NN
-nya	PRP
di	IN
Irak	NNP
,	Z
pemimpin	NN
partai	NN
Demokrat	NNP
di	IN
Senat	NNP
AS	NNP
Harry	NNP
Reid	NNP
mengatakan	VB
bermacam	CD
pilihan	NN
sedang	MD
diteliti	VB
.	Z
Setiap	CD
usul	NN
,	Z
saya	PRP
kira	VB
,	Z
yang	SC
ditawarkan	VB
oleh	IN
setiap	CD
anggota	NN
Kongres	NNP
,	Z
mesti	MD
kita	PRP
perhatian	NN
dengan	SC
sangat	RB
saksama	JJ
.	Z
Itu	PR
melibatkan	VB
kekeliruan	NN
kebijakan	NN
luar negeri	NN
terburuk	JJ
dalam	IN
sejarah	NN
negeri	NN
ii	NNP
,	Z
kata	VB
-nya	PRP
kepada	IN
stasiun televisi	NNP
CNN	NNP
.	Z
Resolusi	NN
tak	NEG
mengikat	VB
yang	SC
mengecam	VB
rencana	NN
perang	NN
Bush	NNP
memiliki	VB
nasib	NN
lebih	RB
baik	JJ
di	IN
Dewan Perwakilan Rakyat	NNP
,	Z
dan	CC
disahkan	VB
Jumat	NNP
dengan	SC
246	CD
berbanding	VB
182	CD
suara	NN
berdasarkan	VB
jalur	NN
partai	NN
utama	JJ
.	Z
Polisi	NN
Belarus	NNP
membubarkan	VB
demonstrasi	NN
resmi	JJ
pertama	OD
dalam	IN
beberapa	CD
tahun	NN
ini	PR
yang	SC
dilakukan	VB
ribuan	CD
penentang	NN
Presiden	NNP
Aleksander	NNP
Lukashenko	NNP
,	Z
kata	VB
laporan-laporan	NN
,	Z
Minggu	NNP
.	Z
Menurut	IN
beberapa	CD
saksi mata	NN
,	Z
pasukan	NN
keamanan	NN
khusus	JJ
berseragam	VB
hitam	JJ
yang	SC
menggunakan	VB
pentungan	NN
dan	CC
melakukan	VB
pemukulan	NN
mengusir	VB
paksa	VB
demonstran	NN
dari	IN
Lapangan	NNP
Oktober	NNP
di	IN
pusat	NN
kota	NN
Minsk	NNP
.	Z
Namun	CC
,	Z
pawai	NN
itu	PR
tidak	NEG
diperbolehkan	VB
berpindah	VB
dari	IN
sebuah	NND
rute	NN
yang	SC
telah	MD
disetujui	VB
pihak	NN
berwenang	VB
.	Z
Sepuluh	CD
hari	NN
setelah	SC
partai	NN
-nya	PRP
,	Z
Fatah	NNP
,	Z
bergabung	VB
dengan	IN
Gerakan	NNP
Perlawanan	NNP
Islam	NNP
(	Z
HAMAS	NNP
)	Z
dalam	IN
pemerintah	NN
persatuan	NN
,	Z
Presiden	NNP
Palestina	NNP
Mahmoud	NNP
Abbas	NNP
,	Z
Senin	NNP
,	Z
meminta	VB
Menteri	NNP
Luar	NNP
Negeri	NNP
AS	NNP
Condoleezza	NNP
Rice	NNP
untuk	SC
menekan	VB
Israel	NNP
agar	SC
menghidupkan	VB
kembali	VB
pembicaraan	NN
perdamaian	NN
,	Z
kata	VB
seorang	NND
pembantu	NN
senior	JJ
Presiden	NNP
Palestina	NNP
itu	PR
.	Z
Presiden	NNP
Abbas	NNP
memberi tahu	VB
Rice	NNP
bahwa	SC
membatasi	VB
pembicaraan	NN
antara	IN
pihak	NN
Palestina	NNP
dan	CC
Israel	NNP
pada	IN
masalah	NN
keamanan	NN
dan	CC
kemanusiaan	NN
saja	RB
tak	NEG
cukup	RB
,	Z
kata kepala	NNP
perunding	NNP
Palestina	NNP
Saeb	NNP
Erekat	NNP
kepada	IN
wartawan	NN
sementara	SC
Rice	NNP
,	Z
yang	SC
melakukan	VB
perjalanan	NN
diplomatik	JJ
di	IN
Timur	NNP
Tengah	NNP
,	Z
mengadakan	VB
pembicaraan	NN
dengan	IN
Abbas	NNP
di	IN
ibu kota	NN
Jordania	NNP
,	Z
Amman	NNP
,	Z
untuk	IN
kedua	CD
kali	NND
dalam	IN
beberapa	CD
hari	NN
.	Z
Rice	NNP
,	Z
Senin	NNP
,	Z
juga	RB
mengadakan	VB
pertemuan	NN
empat	CD
-	Z
jam	NN
dengan	IN
Perdana	NNP
Menteri	NNP
Israel	NNP
Ehud	NNP
Olmert	NNP
,	Z
pertemuan	NN
kedua	OD
dalam	IN
kunjungan	NN
-nya	PRP
saat	NN
ini	PR
.	Z
Ia	PRP
dijadwalkan	VB
mengadakan	VB
taklimat	NN
Senin	NNP
malam	NN
.	Z
Menyimpulkan	VB
hasil	NN
kunjungan	NN
-nya	PRP
dan	CC
mengumumkan	VB
strategi	NN
mengenai	IN
perundingan	NN
ulang-alik	VB
langsung	RB
yang	SC
paralel	JJ
antara	IN
Israel	NNP
dan	CC
Palestina	NNP
di bawah	VB
penengahan	NN
AS	NNP
.	Z
Namun	CC
acara	NN
itu	PR
ditunda	VB
sampai	IN
Selasa	NNP
pagi	NN
,	Z
di	IN
tengah	NN
laporan	NN
mengenai	IN
keberatan	NN
Israel	NNP
atas	IN
pendekatan	NN
diplomasi	NN
ulang-alik	VB
AS	NNP
tersebut	PR
.	Z
Israel	NNP
menyatakan	VB
tak	NEG
kan	MD
melanjutkan	VB
perundingan	NN
perdamaian	NN
selama	IN
pemerintah	NN
Fatah	NNP
-	Z
HAMAS	NNP
,	Z
seperti	IN
kabinet	NN
tunggal	JJ
HAMAS	NNP
yang	SC
digantikan	VB
-nya	PRP
,	Z
menolak	VB
untuk	SC
mengakui	VB
hak	NN
negara	NN
Yahudi	NNP
untuk	IN
ada	VB
.	Z
Tel	NNP
Aviv	NNP
malah	CC
menyampaikan	VB
kesediaan	NN
mengadakan	VB
pembicaraan	NN
bilateral	JJ
dengan	SC
Abbas	NNP
,	Z
pemimpin	NN
Fatah	NNP
,	Z
tapi	CC
hanya	RB
mengenai	IN
peningkatan	NN
kondisi	NN
hidup	NN
rakyat	NN
Palestina	NNP
dan	CC
peningkatan	NN
kerja sama	NN
keamanan	NN
.	Z
Wewenang	NN
diperlukan	VB
untuk	SC
menciptakan	VB
kesamaan	NN
langsung	RB
guna	SC
mendorong	VB
proses	NN
perundingan	NN
yang	SC
memberi	VB
hasil	NN
,	Z
kata	VB
Olmert	NNP
kepada	IN
kabinet	NN
-nya	PRP
,	Z
Ahad	NNP
.	Z
Ia	PRP
merujuk	VB
kepada	IN
landasan	NN
pemerintah	NN
baru	JJ
itu	PR
dan	CC
kegagalan	NN
-nya	PRP
untuk	SC
membebaskan	VB
seorang	NND
prajurit	NN
Israel	NNP
yang	SC
ditawan	VB
di	IN
Jalur	NNP
Gaza	NNP
oleh	IN
HAMAS	NNP
.	Z
Senin	NNP
pagi	NN
,	Z
Rice	NNP
telah	MD
menyatakan	VB
ia	PRP
tak	NEG
bermaksud	VB
mengambil alih	VB
pembicaraan	NN
perdamaian	NN
Palestina	NNP
-	Z
Israel	NNP
.	Z
Saya	PRP
tak	NEG
ingin	RB
dengan	SC
cara	NN
apa pun	WH
menguasai	VB
dialog	NN
bilateral	JJ
Palestina	NNP
-	Z
Israel	NNP
,	Z
kata	VB
Rice	NNP
setelah	SC
pertemuan	NN
dengan	IN
Menteri	NNP
Luar	NNP
Negeri	NNP
Israel	NNP
Tzipi	NNP
Livni	NNP
,	Z
sekembali	VB
-nya	PRP
ke	IN
Jerusalem	NNP
dari	IN
Amman	NNP
.	Z
Di	IN
Ramallah	NNP
,	Z
Tepi	NNP
Barat	NNP
Sungai	NNP
Jordan	NNP
,	Z
Ahad	NNP
,	Z
Rice	NNP
menegaskan	VB
,	Z
Saya	PRP
kira	VB
sangat	RB
penting	JJ
bahwa	SC
ada	VB
garis horizontal	NN
politik	NN
bagi	IN
Israel	NNP
dan	CC
Palestina	NNP
,	Z
kata	VB
-nya	PRP
.	Z
Tetapi	CC
ia	PRP
secara	IN
tak	NEG
langsung	RB
mengakui	VB
bahwa	SC
waktu	NN
-nya	PRP
belum	NEG
tiba	VB
bagi	IN
perundingan	NN
langsung	RB
,	Z
dan	CC
berkata	VB
,	Z
Saya	PRP
kira	VB
saat	NN
ini	PR
paling	RB
baik	JJ
untuk	IN
berbicara	VB
mengenai	IN
horizon	NN
politik	NN
secara	IN
paralel	JJ
.	Z
Kunjungan	NN
-nya	PRP
ke	IN
wilayah	NN
itu	PR
,	Z
pusat perhatian	NN
bagi	IN
peningkatan	NN
diplomasi	NN
sejak	IN
pemerintah	NN
Fatah	NNP
-	Z
HAMAS	NNP
diambil	VB
sumpah	NN
-nya	PRP
Sabtu	NNP
pekan	NN
lalu	CC
,	Z
dilakukan	VB
bersamaan	VB
dengan	IN
kunjungan	NN
Sekretaris	NNP
Jenderal	NNP
PBB	NNP
Ban	NNP
Ki	NNP
-	NNP
moon	NNP
--	Z
yang	SC
mengatakan	VB
setelah	SC
bertemu	VB
dengan	IN
Olmert	NNP
di	IN
Jerusalem	NNP
,	Z
Senin	NNP
,	Z
Presiden	NNP
Abbas	NNP
siap	VB
bagi	IN
perdamaian	NN
.	Z
Meskipun	SC
menegaskan	VB
pemerintah	NN
baru	JJ
tersebut	PR
harus	MD
memenuhi	VB
kriteria	NN
internasional	JJ
mengenai	IN
tanpa	IN
-	Z
kekerasan	NN
dan	CC
pengakuan	NN
atas	IN
Israel	NNP
,	Z
Ban	NNP
menyatakan	VB
pemerintah	NN
itu	PR
mesti	MD
diberi	VB
suatu	CD
ruang	NN
politik	NN
untuk	SC
melakukan	VB
-nya	PRP
.	Z
Kunjungan	NN
ke	IN
wilayah	NN
tersebut	PR
oleh	IN
Rice	NNP
dan	CC
Ban	NNP
dilaksanakan	VB
menjelang	IN
pertemuan	NN
penting	JJ
tingkat	NN
tinggi	JJ
Liga	NNP
Arab	NNP
di	IN
Riyadh	NNP
,	Z
Arab	NNP
Saudi	NNP
,	Z
pekan	NN
ini	PR
.	Z
Dalam	IN
pertemuan	NN
itu	PR
,	Z
para	DT
peserta	NN
diperkirakan	VB
akan	MD
meluncurkan	VB
kembali	VB
usul	NN
perdamaian	NN
2002	CD
,	Z
yang	SC
menjanjikan	VB
pengakuan	NN
atas	IN
Israel	NNP
oleh	IN
negara	NN
Arab	NNP
sebagai	IN
imbalan	NN
bagi	IN
penarikan	NN
penuh	JJ
Israel	NNP
dari	IN
Tepi	NNP
Barat	NNP
Sungai	NNP
